timestamp,user_id,ip_address,country,service_used,action,status,bytes_transferred
2024-03-01 08:01:22,user_12,192.168.1.10,South Africa,S3,GetObject,Success,4200
2024-03-01 08:03:45,user_45,10.34.21.5,United States,EC2,StartInstance,Success,200
2024-03-01 08:05:10,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:06:44,user_21,203.55.22.1,India,RDS,QueryDB,Success,1500
2024-03-01 08:07:33,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,300
2024-03-01 08:10:05,user_12,192.168.1.10,South Africa,S3,PutObject,Success,3600
2024-03-01 08:11:41,user_32,66.23.55.7,Canada,CloudWatch,Login,Success,120
2024-03-01 08:12:54,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:14:18,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,950
2024-03-01 08:16:33,user_64,72.11.55.21,UK,S3,GetObject,Success,4800
2024-03-01 08:17:45,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5100
2024-03-01 08:18:22,user_45,10.34.21.5,United States,EC2,StopInstance,Success,200
2024-03-01 08:19:55,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:21:41,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1300
2024-03-01 08:23:20,user_12,192.168.1.10,South Africa,S3,PutObject,Success,3300
2024-03-01 08:24:11,user_56,90.12.33.45,France,EC2,StartInstance,Success,200
2024-03-01 08:25:37,user_44,10.12.55.8,United States,S3,GetObject,Success,4400
2024-03-01 08:26:54,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,280
2024-03-01 08:28:33,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:30:21,user_19,66.33.18.9,Canada,CloudWatch,Login,Success,150
2024-03-01 08:31:52,user_31,203.44.22.7,India,RDS,QueryDB,Success,1600
2024-03-01 08:33:15,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,900
2024-03-01 08:34:41,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5200
2024-03-01 08:36:04,user_45,10.34.21.5,United States,EC2,StartInstance,Success,200
2024-03-01 08:37:22,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:39:13,user_64,72.11.55.21,UK,S3,PutObject,Success,3500
2024-03-01 08:41:01,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,310
2024-03-01 08:42:36,user_56,90.12.33.45,France,EC2,StopInstance,Success,200
2024-03-01 08:44:05,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5000
2024-03-01 08:45:33,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1400
2024-03-01 08:47:10,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:48:25,user_44,10.12.55.8,United States,S3,PutObject,Success,3800
2024-03-01 08:49:51,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,920
2024-03-01 08:51:06,user_19,66.33.18.9,Canada,CloudWatch,Login,Success,160
2024-03-01 08:52:40,user_64,72.11.55.21,UK,S3,GetObject,Success,4700
2024-03-01 08:54:21,user_12,192.168.1.10,South Africa,S3,PutObject,Success,3600
2024-03-01 08:55:55,user_45,10.34.21.5,United States,EC2,StartInstance,Success,200
2024-03-01 08:57:30,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:59:12,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1550
2024-03-01 09:01:03,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,300
2024-03-01 09:02:41,user_31,203.44.22.7,India,RDS,QueryDB,Success,1650
2024-03-01 09:04:12,user_56,90.12.33.45,France,EC2,StartInstance,Success,200
2024-03-01 09:05:35,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5400
2024-03-01 09:07:20,user_19,66.33.18.9,Canada,CloudWatch,Login,Success,170
2024-03-01 09:09:01,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,910
2024-03-01 09:10:25,user_64,72.11.55.21,UK,S3,PutObject,Success,3450
2024-03-01 09:12:44,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1450
2024-03-01 09:14:18,user_45,10.34.21.5,United States,EC2,StopInstance,Success,200
2024-03-01 08:01:22,user_12,192.168.1.10,South Africa,S3,GetObject,Success,4200
2024-03-01 08:03:45,user_45,10.34.21.5,United States,EC2,StartInstance,Success,200
2024-03-01 08:05:10,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:06:44,user_21,203.55.22.1,India,RDS,QueryDB,Success,1500
2024-03-01 08:07:33,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,300
2024-03-01 08:10:05,user_12,192.168.1.10,South Africa,S3,PutObject,Success,3600
2024-03-01 08:11:41,user_32,66.23.55.7,Canada,CloudWatch,Login,Success,120
2024-03-01 08:12:54,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:14:18,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,950
2024-03-01 08:16:33,user_64,72.11.55.21,UK,S3,GetObject,Success,4800
2024-03-01 08:17:45,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5100
2024-03-01 08:18:22,user_45,10.34.21.5,United States,EC2,StopInstance,Success,200
2024-03-01 08:19:55,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:21:41,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1300
2024-03-01 08:23:20,user_12,192.168.1.10,South Africa,S3,PutObject,Success,3300
2024-03-01 08:24:11,user_56,90.12.33.45,France,EC2,StartInstance,Success,200
2024-03-01 08:25:37,user_44,10.12.55.8,United States,S3,GetObject,Success,4400
2024-03-01 08:26:54,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,280
2024-03-01 08:28:33,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:30:21,user_19,66.33.18.9,Canada,CloudWatch,Login,Success,150
2024-03-01 08:31:52,user_31,203.44.22.7,India,RDS,QueryDB,Success,1600
2024-03-01 08:33:15,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,900
2024-03-01 08:34:41,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5200
2024-03-01 08:36:04,user_45,10.34.21.5,United States,EC2,StartInstance,Success,200
2024-03-01 08:37:22,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:39:13,user_64,72.11.55.21,UK,S3,PutObject,Success,3500
2024-03-01 08:41:01,user_77,88.21.44.10,Netherlands,Lambda,InvokeFunction,Success,310
2024-03-01 08:42:36,user_56,90.12.33.45,France,EC2,StopInstance,Success,200
2024-03-01 08:44:05,user_12,192.168.1.10,South Africa,S3,GetObject,Success,5000
2024-03-01 08:45:33,user_23,101.44.11.6,Australia,RDS,QueryDB,Success,1400
2024-03-01 08:47:10,user_88,172.16.10.9,Germany,IAM,Login,Failed,0
2024-03-01 08:48:25,user_44,10.12.55.8,United States,S3,PutObject,Success,3800
2024-03-01 08:49:51,user_91,50.23.90.8,Brazil,DynamoDB,QueryDB,Success,920
2024-03-01 08:51:06,user_19,66.33.18.9,Canada,CloudWatch,Login,Success,160
